station_name,address,city,state_province,zip_postal_code,full_address,geocode_result,latitude,longitude,osm_class,osm_type,osm_display_name
BOULDER / JUNCTION ST1,2280 Junction Pl,Boulder,Colorado,80301,"2280 Junction Pl, Boulder, Colorado, 80301","Hyatt Place Boulder-Pearl Street, 2280, Junction Place, Boulder Junction, Boulder, Boulder County, Colorado, 80301, United States",40.0242054,-105.2518078,tourism,hotel,"Hyatt Place Boulder-Pearl Street, 2280, Junction Place, Boulder Junction, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / ALPINE ST1,1275 Alpine Ave,Boulder,Colorado,80304,"1275 Alpine Ave, Boulder, Colorado, 80304","Whole Foods Market, 1275, Alpine Avenue, Washington Village, Boulder, Boulder County, Colorado, 80304, United States",40.025998,-105.2807798,shop,supermarket,"Whole Foods Market, 1275, Alpine Avenue, Washington Village, Boulder, Boulder County, Colorado, 80304, United States"
BOULDER / BASELINE ST1,900 Baseline Rd,Boulder,Colorado,80302,"900 Baseline Rd, Boulder, Colorado, 80302","Colorado Chautauqua National Historic Landmark, 900, Baseline Road, Central Boulder - University Hill, Boulder, Boulder County, Colorado, 80302, United States",39.9999701,-105.283278,historic,monument,"Colorado Chautauqua National Historic Landmark, 900, Baseline Road, Central Boulder - University Hill, Boulder, Boulder County, Colorado, 80302, United States"
BOULDER / FACILITIES ST1,1745 14th street,Boulder,Colorado,80302,"1745 14th street, Boulder, Colorado, 80302","1745, 14th Street, Boulder, Boulder County, Colorado, 80302, United States",40.0149762,-105.2763087,place,house,"1745, 14th Street, Boulder, Boulder County, Colorado, 80302, United States"
COMM VITALITY / 1500PEARL2,1500 Pearl St,Boulder,Colorado,80302,"1500 Pearl St, Boulder, Colorado, 80302","1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States",40.0185267,-105.275277,amenity,parking,"1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States"
BOULDER / ATRIUM ST1,1770 13th St,Boulder,Colorado,80302,"1770 13th St, Boulder, Colorado, 80302","Boulder Dushanbe Tea House, 1770, 13th Street, Boulder, Boulder County, Colorado, 80302, United States",40.0154279,-105.2772223,amenity,restaurant,"Boulder Dushanbe Tea House, 1770, 13th Street, Boulder, Boulder County, Colorado, 80302, United States"
BOULDER / REC CENTER ST1,1360 Gillaspie Dr,Boulder,Colorado,80305,"1360 Gillaspie Dr, Boulder, Colorado, 80305","South Boulder Recreation Center, 1360, Gillaspie Drive, Table Mesa, Boulder, Boulder County, Colorado, 80305, United States",39.9746767,-105.2486002,leisure,sports_centre,"South Boulder Recreation Center, 1360, Gillaspie Drive, Table Mesa, Boulder, Boulder County, Colorado, 80305, United States"
BOULDER / REC CENTER ST2,1360 Gillaspie Dr,Boulder,Colorado,80305,"1360 Gillaspie Dr, Boulder, Colorado, 80305","South Boulder Recreation Center, 1360, Gillaspie Drive, Table Mesa, Boulder, Boulder County, Colorado, 80305, United States",39.9746767,-105.2486002,leisure,sports_centre,"South Boulder Recreation Center, 1360, Gillaspie Drive, Table Mesa, Boulder, Boulder County, Colorado, 80305, United States"
COMM VITALITY / 1500PEARL1,1500 Pearl St,Boulder,Colorado,80302,"1500 Pearl St, Boulder, Colorado, 80302","1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States",40.0185267,-105.275277,amenity,parking,"1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States"
COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,Boulder,Colorado,80302,"1100 Spruce St, Boulder, Colorado, 80302","1100, Spruce Street, Boulder, Boulder County, Colorado, 80302, United States",40.0185404,-105.2814748,shop,vacant,"1100, Spruce Street, Boulder, Boulder County, Colorado, 80302, United States"
